 &plot nbnd=  80, nks=   129 /
            0.000000  0.000000  0.000000
  -65.229  -65.222  -33.955  -33.871  -33.832  -33.807  -33.763  -33.763  -16.122  -14.997
  -14.697  -14.496   -8.022   -7.330   -6.284   -5.920   -5.920   -5.693   -5.549   -4.549
   -4.340   -4.146   -3.283   -3.283   -1.969   -1.186   -1.186   -0.419    0.883    0.935
    2.082    2.503    2.503    2.699    2.940    3.035    3.037    3.166    3.213    3.789
    3.793    4.192    4.906    5.161    5.258    6.184    6.208    6.484    6.484    6.621
    6.714    6.867    6.966    7.016    7.033    7.225    7.633    7.636    7.898    8.007
    8.802    8.906    9.072    9.124    9.264    9.626    9.813    9.967   10.463   10.695
   10.695   10.748   10.748   10.824   10.959   10.980   11.213   11.430   11.667   11.745
            0.015625  0.000000  0.000000
  -65.229  -65.222  -33.955  -33.871  -33.832  -33.807  -33.763  -33.763  -16.121  -14.997
  -14.697  -14.497   -8.020   -7.329   -6.285   -5.922   -5.920   -5.693   -5.549   -4.548
   -4.340   -4.145   -3.289   -3.285   -1.969   -1.185   -1.184   -0.418    0.882    0.935
    2.084    2.493    2.502    2.701    2.950    3.032    3.034    3.167    3.222    3.790
    3.794    4.181    4.907    5.171    5.259    6.107    6.282    6.481    6.486    6.622
    6.687    6.870    6.897    7.015    7.134    7.226    7.550    7.696    7.874    8.058
    8.784    8.906    9.062    9.140    9.264    9.635    9.810    9.961   10.467   10.671
   10.675   10.736   10.766   10.865   10.946   10.975   11.224   11.420   11.670   11.755
            0.031250  0.000000  0.000000
  -65.229  -65.222  -33.955  -33.871  -33.833  -33.806  -33.763  -33.763  -16.119  -14.998
  -14.698  -14.499   -8.014   -7.326   -6.289   -5.927   -5.919   -5.692   -5.547   -4.547
   -4.341   -4.139   -3.304   -3.291   -1.967   -1.182   -1.176   -0.414    0.879    0.935
    2.090    2.465    2.501    2.708    2.978    3.018    3.031    3.170    3.247    3.794
    3.798    4.148    4.909    5.200    5.262    6.018    6.361    6.475    6.493    6.625
    6.629    6.787    6.878    7.076    7.229    7.249    7.463    7.684    7.898    8.145
    8.741    8.905    9.030    9.185    9.263    9.651    9.809    9.946   10.475   10.612
   10.639   10.740   10.797   10.911   10.932   10.961   11.253   11.395   11.680   11.781
            0.046875  0.000000  0.000000
  -65.229  -65.222  -33.954  -33.871  -33.833  -33.806  -33.764  -33.763  -16.115  -14.999
  -14.698  -14.504   -8.004   -7.322   -6.295   -5.936   -5.917   -5.691   -5.545   -4.545
   -4.341   -4.130   -3.330   -3.301   -1.965   -1.178   -1.164   -0.407    0.874    0.935
    2.101    2.426    2.498    2.717    3.002    3.020    3.027    3.175    3.281    3.799
    3.805    4.097    4.913    5.244    5.268    5.927    6.415    6.465    6.506    6.581
    6.630    6.678    6.891    7.143    7.234    7.347    7.401    7.619    7.977    8.238
    8.686    8.904    8.985    9.247    9.262    9.649    9.830    9.921   10.483   10.547
   10.599   10.754   10.827   10.864   10.943   11.003   11.288   11.358   11.698   11.817
            0.062500  0.000000  0.000000
  -65.229  -65.222  -33.953  -33.870  -33.833  -33.806  -33.765  -33.763  -16.110  -15.000
  -14.698  -14.509   -7.991   -7.317   -6.303   -5.948   -5.914   -5.690   -5.543   -4.541
   -4.342   -4.118   -3.365   -3.315   -1.963   -1.173   -1.147   -0.398    0.867    0.934
    2.115    2.381    2.495    2.729    2.986    3.021    3.071    3.182    3.323    3.808
    3.814    4.033    4.919    5.276    5.297    5.837    6.398    6.451    6.523    6.564
    6.606    6.636    6.910    7.178    7.242    7.318    7.492    7.558    8.067    8.328
    8.628    8.902    8.935    9.259    9.317    9.619    9.880    9.888   10.484   10.484
   10.558   10.773   10.812   10.854   10.926   11.073   11.318   11.324   11.721   11.858
            0.078125  0.000000  0.000000
  -65.229  -65.222  -33.953  -33.870  -33.833  -33.806  -33.766  -33.763  -16.104  -15.001
  -14.699  -14.517   -7.974   -7.310   -6.313   -5.963   -5.910   -5.688   -5.541   -4.537
   -4.343   -4.103   -3.410   -3.332   -1.959   -1.168   -1.125   -0.385    0.858    0.933
    2.133    2.332    2.490    2.743    2.972    3.014    3.128    3.191    3.369    3.818
    3.826    3.959    4.926    5.286    5.356    5.747    6.334    6.435    6.461    6.545
    6.642    6.667    6.934    7.137    7.252    7.308    7.516    7.622    8.160    8.399
    8.585    8.888    8.898    9.256    9.387    9.575    9.850    9.944   10.425   10.474
   10.515   10.756   10.794   10.878   10.912   11.142   11.278   11.357   11.751   11.899
            0.093750  0.000000  0.000000
  -65.229  -65.223  -33.951  -33.870  -33.833  -33.806  -33.767  -33.764  -16.096  -15.004
  -14.700  -14.526   -7.953   -7.301   -6.325   -5.981   -5.906   -5.686   -5.539   -4.530
   -4.343   -4.085   -3.462   -3.353   -1.955   -1.163   -1.099   -0.370    0.847    0.931
    2.154    2.283    2.485    2.760    2.962    3.004    3.188    3.204    3.419    3.831
    3.840    3.878    4.935    5.299    5.413    5.657    6.261    6.356    6.416    6.572
    6.649    6.739    6.963    7.064    7.265    7.269    7.551    7.744    8.247    8.415
    8.590    8.857    8.893    9.250    9.437    9.543    9.808   10.008   10.372   10.454
   10.472   10.699   10.817   10.898   10.901   11.209   11.244   11.383   11.787   11.936
            0.109375  0.000000  0.000000
  -65.229  -65.223  -33.950  -33.870  -33.834  -33.805  -33.769  -33.764  -16.087  -15.006
  -14.700  -14.536   -7.929   -7.291   -6.338   -6.001   -5.901   -5.683   -5.539   -4.521
   -4.344   -4.065   -3.522   -3.376   -1.950   -1.158   -1.070   -0.352    0.834    0.929
    2.169    2.242    2.480    2.780    2.956    2.994    3.215    3.255    3.472    3.792
    3.845    3.858    4.945    5.313    5.464    5.568    6.192    6.255    6.396    6.603
    6.655    6.802    6.995    6.996    7.200    7.280    7.622    7.869    8.294    8.407
    8.626    8.862    8.885    9.241    9.416    9.580    9.766   10.062   10.324   10.428
   10.431   10.641   10.838   10.889   10.914   11.222   11.273   11.399   11.826   11.966
            0.125000  0.000000  0.000000
  -65.229  -65.223  -33.948  -33.869  -33.834  -33.805  -33.770  -33.764  -16.076  -15.010
  -14.701  -14.548   -7.901   -7.279   -6.351   -6.024   -5.896   -5.680   -5.540   -4.511
   -4.345   -4.043   -3.588   -3.402   -1.944   -1.156   -1.037   -0.331    0.820    0.926
    2.151    2.237    2.474    2.802    2.955    2.981    3.231    3.321    3.526    3.704
    3.863    3.879    4.957    5.329    5.469    5.513    6.125    6.163    6.373    6.639
    6.662    6.821    6.969    7.034    7.123    7.297    7.704    7.995    8.258    8.450
    8.652    8.874    8.917    9.227    9.358    9.650    9.727   10.094   10.283   10.385
   10.415   10.584   10.857   10.876   10.925   11.211   11.336   11.404   11.869   11.990
            0.140625  0.000000  0.000000
  -65.228  -65.223  -33.946  -33.869  -33.834  -33.804  -33.772  -33.765  -16.064  -15.014
  -14.702  -14.560   -7.869   -7.266   -6.365   -6.048   -5.889   -5.677   -5.544   -4.497
   -4.346   -4.019   -3.659   -3.431   -1.938   -1.155   -1.000   -0.308    0.804    0.921
    2.106    2.264    2.467    2.826    2.958    2.968    3.248    3.389    3.578    3.620
    3.882    3.902    4.970    5.347    5.386    5.529    6.041    6.107    6.350    6.669
    6.679    6.772    6.995    7.061    7.077    7.317    7.787    8.111    8.203    8.479
    8.697    8.858    9.003    9.209    9.293    9.693    9.721   10.096   10.247   10.341
   10.414   10.527   10.866   10.872   10.931   11.210   11.396   11.398   11.913   12.006
            0.156250  0.000000  0.000000
  -65.228  -65.223  -33.944  -33.869  -33.835  -33.804  -33.774  -33.765  -16.051  -15.019
  -14.703  -14.573   -7.835   -7.252   -6.380   -6.074   -5.882   -5.674   -5.550   -4.481
   -4.347   -3.995   -3.736   -3.461   -1.930   -1.156   -0.961   -0.282    0.786    0.916
    2.057    2.299    2.460    2.852    2.953    2.966    3.267    3.458    3.519    3.647
    3.903    3.929    4.985    5.298    5.366    5.523    5.945    6.083    6.325    6.676
    6.705    6.723    6.946    7.095    7.124    7.338    7.864    8.103    8.266    8.478
    8.774    8.837    9.104    9.186    9.228    9.666    9.785   10.075   10.216   10.298
   10.420   10.470   10.869   10.882   10.932   11.217   11.373   11.459   11.955   12.014
            0.171875  0.000000  0.000000
  -65.228  -65.223  -33.942  -33.868  -33.835  -33.803  -33.777  -33.766  -16.036  -15.024
  -14.705  -14.587   -7.797   -7.236   -6.394   -6.102   -5.875   -5.670   -5.559   -4.462
   -4.348   -3.971   -3.816   -3.493   -1.922   -1.159   -0.920   -0.254    0.767    0.908
    2.008    2.339    2.453    2.881    2.936    2.978    3.289    3.429    3.528    3.706
    3.926    3.960    5.002    5.212    5.386    5.493    5.850    6.076    6.300    6.641
    6.683    6.772    6.872    7.162    7.175    7.363    7.926    8.035    8.380    8.481
    8.809    8.869    9.159    9.160    9.211    9.649    9.830   10.051   10.191   10.255
   10.415   10.421   10.887   10.890   10.926   11.232   11.334   11.520   11.993   12.012
            0.187500  0.000000  0.000000
  -65.228  -65.223  -33.939  -33.868  -33.836  -33.803  -33.779  -33.767  -16.020  -15.031
  -14.706  -14.602   -7.757   -7.218   -6.407   -6.130   -5.867   -5.666   -5.571   -4.440
   -4.348   -3.953   -3.893   -3.527   -1.914   -1.164   -0.876   -0.224    0.747    0.900
    1.961    2.383    2.446    2.911    2.919    2.992    3.312    3.340    3.597    3.768
    3.951    3.994    5.020    5.126    5.408    5.444    5.755    6.074    6.275    6.584
    6.690    6.800    6.824    7.229    7.230    7.389    7.935    7.997    8.437    8.555
    8.774    8.969    9.098    9.130    9.316    9.640    9.837   10.050   10.170   10.212
   10.362   10.411   10.885   10.915   10.927   11.258   11.281   11.582   12.000   12.024
            0.203125  0.000000  0.000000
  -65.228  -65.223  -33.937  -33.867  -33.836  -33.802  -33.782  -33.767  -16.003  -15.040
  -14.707  -14.616   -7.714   -7.200   -6.421   -6.159   -5.858   -5.663   -5.585   -4.415
   -4.348   -3.999   -3.908   -3.561   -1.904   -1.172   -0.830   -0.192    0.725    0.889
    1.915    2.430    2.439    2.900    2.944    3.007    3.256    3.338    3.665    3.831
    3.978    4.032    5.040    5.041    5.382    5.430    5.662    6.065    6.251    6.537
    6.697    6.739    6.880    7.287    7.296    7.417    7.871    8.006    8.464    8.681
    8.732    9.025    9.085    9.102    9.416    9.639    9.808   10.077   10.153   10.170
   10.309   10.394   10.877   10.897   10.975   11.215   11.297   11.643   11.977   12.044
            0.218750  0.000000  0.000000
  -65.228  -65.223  -33.934  -33.866  -33.837  -33.802  -33.785  -33.768  -15.984  -15.049
  -14.709  -14.630   -7.668   -7.180   -6.433   -6.188   -5.849   -5.659   -5.603   -4.387
   -4.348   -4.086   -3.887   -3.597   -1.894   -1.182   -0.783   -0.160    0.701    0.877
    1.871    2.432    2.479    2.881    2.978    3.011    3.188    3.366    3.732    3.894
    4.007    4.075    4.957    5.061    5.312    5.452    5.570    6.040    6.228    6.491
    6.698    6.703    6.939    7.348    7.359    7.448    7.800    7.997    8.504    8.683
    8.813    8.974    9.075    9.184    9.502    9.644    9.769   10.118   10.129   10.139
   10.258   10.376   10.860   10.874   11.030   11.139   11.350   11.705   11.945   12.052
            0.234375  0.000000  0.000000
  -65.228  -65.223  -33.931  -33.866  -33.837  -33.801  -33.788  -33.769  -15.965  -15.060
