 &plot nbnd=  84, nks=   129 /
            0.000000  0.000000  0.000000
  -73.140  -73.082  -37.866  -37.395  -37.232  -37.228  -37.041  -37.041  -17.734  -17.579
  -15.497  -15.146  -15.124  -14.080  -13.946  -13.798   -8.977   -8.860   -8.050   -6.574
   -4.950   -4.786   -4.686   -4.278   -4.154   -3.773   -3.153   -3.153   -3.039   -2.913
   -2.761   -2.761   -2.627   -2.627   -1.733   -1.487   -1.487   -1.333   -1.030   -0.896
    0.058    1.327    3.515    4.019    4.228    4.228    4.887    4.887    4.887    5.118
    5.347    5.373    5.924    6.094    6.141    6.350    6.462    6.998    7.087    7.527
    7.954    8.640    9.012    9.012    9.018    9.233    9.233    9.549   10.000   10.228
   10.529   10.596   10.856   11.511   11.576   11.662   11.929   11.937   12.092   12.152
   12.545   12.551   12.695   12.759
            0.015625  0.000000  0.000000
  -73.140  -73.082  -37.866  -37.395  -37.232  -37.230  -37.042  -37.041  -17.731  -17.576
  -15.494  -15.144  -15.123  -14.079  -13.946  -13.797   -8.974   -8.857   -8.046   -6.570
   -4.951   -4.786   -4.692   -4.289   -4.168   -3.784   -3.169   -3.151   -3.028   -2.906
   -2.778   -2.764   -2.638   -2.628   -1.733   -1.500   -1.491   -1.319   -1.042   -0.896
    0.065    1.324    3.531    4.034    4.216    4.228    4.871    4.893    4.907    5.141
    5.277    5.436    5.929    6.099    6.156    6.356    6.467    6.997    7.092    7.539
    7.959    8.644    8.985    9.020    9.023    9.216    9.241    9.574    9.995   10.232
   10.516   10.604   10.862   11.516   11.579   11.644   11.893   11.953   12.089   12.174
   12.547   12.567   12.699   12.730
            0.031250  0.000000  0.000000
  -73.140  -73.082  -37.864  -37.394  -37.234  -37.231  -37.047  -37.042  -17.722  -17.568
  -15.485  -15.139  -15.117  -14.076  -13.946  -13.796   -8.965   -8.848   -8.036   -6.558
   -4.953   -4.785   -4.712   -4.322   -4.211   -3.811   -3.211   -3.146   -2.998   -2.889
   -2.827   -2.775   -2.671   -2.632   -1.732   -1.530   -1.502   -1.288   -1.077   -0.897
    0.086    1.315    3.578    4.078    4.185    4.228    4.837    4.909    4.963    5.190
    5.197    5.503    5.944    6.116    6.198    6.374    6.483    6.996    7.106    7.576
    7.971    8.654    8.914    9.035    9.047    9.169    9.264    9.640    9.977   10.243
   10.479   10.629   10.881   11.528   11.582   11.587   11.859   11.969   12.083   12.216
   12.554   12.610   12.685   12.712
            0.046875  0.000000  0.000000
  -73.139  -73.082  -37.861  -37.392  -37.240  -37.231  -37.055  -37.044  -17.707  -17.553
  -15.469  -15.129  -15.108  -14.070  -13.945  -13.795   -8.950   -8.833   -8.018   -6.539
   -4.958   -4.782   -4.746   -4.378   -4.279   -3.846   -3.274   -3.139   -2.953   -2.906
   -2.872   -2.793   -2.717   -2.637   -1.733   -1.564   -1.521   -1.252   -1.131   -0.898
