 &plot nbnd=  84, nks=   625 /
            0.000000  0.000000  0.000000
  -73.140  -73.082  -37.866  -37.395  -37.232  -37.228  -37.041  -37.041  -17.734  -17.579
  -15.497  -15.146  -15.124  -14.080  -13.946  -13.798   -8.977   -8.860   -8.050   -6.574
   -4.950   -4.786   -4.686   -4.278   -4.154   -3.773   -3.153   -3.153   -3.039   -2.913
   -2.761   -2.761   -2.627   -2.627   -1.733   -1.487   -1.487   -1.333   -1.030   -0.896
    0.058    1.327    3.515    4.019    4.228    4.228    4.887    4.887    4.887    5.118
    5.347    5.373    5.924    6.094    6.141    6.350    6.462    6.998    7.087    7.527
    7.954    8.640    9.012    9.012    9.018    9.233    9.233    9.549   10.000   10.228
   10.529   10.596   10.856   11.511   11.576   11.662   11.929   11.937   12.092   12.152
   12.545   12.551   12.695   12.759
            0.000000  0.023094  0.000000
  -73.140  -73.083  -37.863  -37.394  -37.232  -37.228  -37.044  -37.041  -17.728  -17.573
  -15.490  -15.165  -15.146  -14.079  -13.940  -13.797   -8.956   -8.838   -8.042   -6.573
   -4.952   -4.780   -4.692   -4.273   -4.149   -3.758   -3.186   -3.149   -3.034   -2.899
   -2.797   -2.769   -2.651   -2.629   -1.743   -1.513   -1.495   -1.305   -1.036   -0.901
    0.055    1.320    3.530    4.031    4.203    4.228    4.856    4.899    4.930    5.165
    5.333    5.360    5.935    6.106    6.173    6.349    6.473    6.993    7.097    7.540
    7.963    8.630    8.955    9.028    9.031    9.197    9.250    9.602    9.966   10.236
   10.499   10.614   10.860   11.380   11.413   11.582   11.821   11.944   12.100   12.357
   12.504   12.705   12.715   12.753
            0.000000  0.046188  0.000000
  -73.139  -73.083  -37.854  -37.392  -37.234  -37.226  -37.054  -37.044  -17.707  -17.554
  -15.470  -15.221  -15.207  -14.077  -13.923  -13.795   -8.896   -8.771   -8.019   -6.571
   -4.958   -4.760   -4.710   -4.259   -4.136   -3.715   -3.271   -3.138   -3.020   -2.902
   -2.874   -2.792   -2.716   -2.636   -1.771   -1.563   -1.519   -1.254   -1.055   -0.915
    0.045    1.300    3.572    4.067    4.146    4.228    4.801    4.936    5.040    5.268
    5.293    5.324    5.967    6.142    6.265    6.344    6.507    6.978    7.127    7.577
    7.990    8.600    8.822    9.057    9.086    9.098    9.301    9.725    9.867   10.259
   10.408   10.665   10.828   11.085   11.129   11.581   11.601   11.925   11.963   12.592
   12.604   12.733   12.734   12.872
            0.000000  0.069282  0.000000
  -73.138  -73.085  -37.839  -37.389  -37.237  -37.222  -37.071  -37.047  -17.674  -17.523
  -15.437  -15.307  -15.302  -14.079  -13.899  -13.792   -8.797   -8.662   -7.982   -6.567
   -4.968   -4.735   -4.731   -4.235   -4.115   -3.647   -3.396   -3.124   -3.066   -2.996
   -2.904   -2.829   -2.760   -2.643   -1.814   -1.616   -1.559   -1.206   -1.086   -0.938
    0.028    1.261    3.640    4.086    4.122    4.228    4.752    4.995    5.190    5.229
    5.275    5.395    6.021    6.201    6.334    6.407    6.568    6.953    7.176    7.631
    8.034    8.552    8.654    8.955    9.104    9.176    9.384    9.714    9.880   10.256
   10.292   10.580   10.740   10.868   10.934   11.392   11.632   11.666   11.991   12.424
   12.670   12.701   12.777   13.142
            0.000000  0.092376  0.000000
  -73.137  -73.086  -37.818  -37.385  -37.242  -37.217  -37.095  -37.052  -17.627  -17.479
  -15.422  -15.417  -15.392  -14.090  -13.872  -13.789   -8.663   -8.513   -7.931   -6.559
   -4.983   -4.764   -4.695   -4.202   -4.085   -3.558   -3.554   -3.277   -3.113   -3.037
   -2.963   -2.880   -2.732   -2.643   -1.865   -1.668   -1.613   -1.173   -1.130   -0.967
    0.005    1.201    3.734    4.039    4.191    4.229    4.719    5.075    5.146    5.225
    5.359    5.532    6.096    6.283    6.318    6.563    6.684    6.917    7.242    7.693
    8.093    8.475    8.485    8.790    9.169    9.300    9.500    9.520   10.048   10.057
   10.232   10.332   10.617   10.803   10.828   11.307   11.411   11.675   12.022   12.178
   12.652   12.657   12.837   13.222
            0.000000  0.115470  0.000000
  -73.135  -73.088  -37.791  -37.380  -37.247  -37.211  -37.124  -37.059  -17.567  -17.424
  -15.561  -15.546  -15.335  -14.113  -13.846  -13.784   -8.500   -8.328   -7.868   -6.547
   -5.005   -4.794   -4.657   -4.160   -4.047   -3.747   -3.524   -3.453   -3.207   -3.113
   -2.943   -2.921   -2.682   -2.628   -1.919   -1.721   -1.679   -1.187   -1.157   -1.002
   -0.021    1.116    3.849    4.013    4.231    4.263    4.704    5.050    5.173    5.188
    5.536    5.672    6.192    6.292    6.383    6.683    6.870    6.890    7.323    7.752
    8.162    8.303    8.401    8.629    9.250    9.300    9.456    9.646    9.834    9.885
   10.220   10.371   10.375   10.618   10.925   11.174   11.276   11.731   11.960   12.048
   12.560   12.585   12.909   13.148
            0.000000  0.138565  0.000000
  -73.133  -73.090  -37.760  -37.373  -37.254  -37.203  -37.158  -37.067  -17.495  -17.356
  -15.713  -15.687  -15.268  -14.150  -13.821  -13.779   -8.312   -8.111   -7.794   -6.527
   -5.035   -4.822   -4.621   -4.109   -4.002   -3.972   -3.792   -3.388   -3.334   -3.131
   -3.016   -2.870   -2.625   -2.591   -1.970   -1.777   -1.755   -1.256   -1.158   -1.041
   -0.049    1.008    3.983    4.009    4.234    4.327    4.710    4.946    5.180    5.286
    5.710    5.806    6.256    6.307    6.494    6.795    6.813    7.139    7.411    7.797
    8.165    8.221    8.297    8.518    9.071    9.345    9.554    9.611    9.641    9.819
